date,solar output
7/31/2024 6:00,0
7/31/2024 7:00,0
7/31/2024 8:00,0.64
7/31/2024 9:00,3.06
7/31/2024 10:00,7.14
7/31/2024 11:00,8.7
7/31/2024 12:00,9.19
7/31/2024 13:00,8.91
7/31/2024 14:00,6.24
7/31/2024 15:00,5.06
7/31/2024 16:00,6.35
7/31/2024 17:00,4.05
7/31/2024 18:00,3.68
